epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,9591.51,1.00065,0.29397,0.00723,0.9846,0.94271,0.96348,0.66539,1.15449,0.37453,0.00881,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9735.89,1.01828,0.29773,0.00739,0.98357,0.9479,0.96356,0.66797,1.15481,0.37766,0.00893,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9877.59,1.00183,0.29127,0.00723,0.97619,0.94923,0.96285,0.6692,1.1463,0.37432,0.00878,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10018.3,0.98724,0.29184,0.00697,0.98103,0.9469,0.96324,0.66955,1.14151,0.37436,0.00873,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10158.7,0.99221,0.29134,0.00712,0.98305,0.94525,0.96286,0.67152,1.13994,0.37268,0.00865,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10300.2,0.97672,0.28439,0.00702,0.98629,0.94457,0.9626,0.67163,1.14693,0.37386,0.00872,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10442.4,0.97824,0.28224,0.00695,0.98174,0.94644,0.96249,0.67015,1.14622,0.37771,0.00874,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10583.4,0.97804,0.29876,0.00703,0.98043,0.94504,0.9628,0.66901,1.16006,0.38837,0.00892,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,10722.8,0.97675,0.28745,0.00706,0.98109,0.94271,0.9626,0.66902,1.14518,0.38074,0.00878,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,10864.1,0.96893,0.28727,0.00691,0.98131,0.94597,0.96229,0.67041,1.1398,0.38154,0.00871,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11014.8,0.97336,0.28417,0.00683,0.98264,0.94927,0.96286,0.67164,1.14157,0.37415,0.00876,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11161.3,0.96378,0.27544,0.00694,0.98173,0.94644,0.96257,0.67066,1.14037,0.37846,0.00873,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11304.9,0.971,0.28483,0.00682,0.98588,0.94291,0.96289,0.66907,1.14512,0.37422,0.00883,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11448.8,0.95337,0.28073,0.00664,0.98706,0.94131,0.96255,0.66683,1.14708,0.37373,0.0088,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11596.6,0.94415,0.26757,0.00673,0.98158,0.94301,0.96221,0.66948,1.14046,0.37245,0.00867,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,11746.3,0.93432,0.26425,0.0066,0.98137,0.94597,0.96261,0.67075,1.14099,0.37052,0.00868,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,11894.6,0.91751,0.26631,0.0066,0.98208,0.9469,0.96288,0.66947,1.14717,0.37095,0.0087,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12042.9,0.94245,0.26558,0.0067,0.98494,0.94462,0.96296,0.66947,1.1463,0.37027,0.0087,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12192.3,0.93352,0.26461,0.00662,0.97983,0.95024,0.96305,0.66813,1.14809,0.36904,0.00873,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,12339.6,0.91126,0.25612,0.00652,0.98039,0.95016,0.96288,0.66898,1.14458,0.37222,0.0087,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,12488.8,0.90968,0.25756,0.00646,0.98494,0.94429,0.96238,0.66813,1.14433,0.3696,0.00867,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,12638.1,0.90334,0.24826,0.00645,0.98079,0.95101,0.96269,0.6695,1.14808,0.363,0.00869,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,12785.7,0.90677,0.25116,0.00644,0.98214,0.94742,0.96308,0.66769,1.14996,0.36279,0.00872,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,12934.7,0.8989,0.25037,0.00641,0.98136,0.9483,0.96287,0.66676,1.1489,0.36458,0.00871,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13090.1,0.8946,0.25339,0.00629,0.9834,0.9469,0.96314,0.66795,1.14718,0.36063,0.00868,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,13239.4,0.89062,0.24637,0.00621,0.98275,0.9469,0.96284,0.66686,1.1497,0.36254,0.00872,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,13387.7,0.8857,0.25089,0.00618,0.98404,0.94758,0.96343,0.66708,1.14834,0.36184,0.00869,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,13536.8,0.89242,0.24539,0.00625,0.98514,0.9469,0.96375,0.66745,1.1486,0.36071,0.00872,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,13684.6,0.86654,0.23577,0.00617,0.98595,0.94644,0.96366,0.66691,1.1476,0.36368,0.00869,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,13832.4,0.86721,0.23597,0.00621,0.98791,0.94504,0.9636,0.66675,1.14508,0.36539,0.00867,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,13979.8,0.85814,0.23397,0.00602,0.98879,0.9447,0.96372,0.66597,1.14362,0.36437,0.00865,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
