epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,22076.1,1.34368,0.94493,0.01116,0.79532,0.70991,0.78099,0.46614,1.31881,0.91095,0.0146,0.00938471,0.00312824,0.00938471,0.00312824,0.00938471,0.00312824,0.00938471,0.00312824
61,22442.4,1.33375,0.92169,0.01121,0.78559,0.71526,0.78195,0.46754,1.32391,0.904,0.0146,0.00903529,0.00301176,0.00903529,0.00301176,0.00903529,0.00301176,0.00903529,0.00301176
62,22809.7,1.33643,0.91409,0.01095,0.79454,0.71215,0.78371,0.4683,1.326,0.90374,0.01464,0.00868588,0.00289529,0.00868588,0.00289529,0.00868588,0.00289529,0.00868588,0.00289529
63,23176.5,1.31972,0.87814,0.01079,0.77958,0.7221,0.78153,0.46763,1.32157,0.90748,0.01455,0.00833647,0.00277882,0.00833647,0.00277882,0.00833647,0.00277882,0.00833647,0.00277882
64,23544.1,1.30795,0.88141,0.01063,0.78858,0.71703,0.78313,0.47007,1.32522,0.90082,0.01461,0.00798706,0.00266235,0.00798706,0.00266235,0.00798706,0.00266235,0.00798706,0.00266235
65,23910.5,1.30585,0.88522,0.0107,0.78106,0.72088,0.78132,0.46839,1.3191,0.9164,0.01447,0.00763765,0.00254588,0.00763765,0.00254588,0.00763765,0.00254588,0.00763765,0.00254588
66,24276.1,1.24321,0.60869,0.01104,0.77664,0.72491,0.78041,0.46839,1.31601,0.9188,0.01441,0.00728824,0.00242941,0.00728824,0.00242941,0.00728824,0.00242941,0.00728824,0.00242941
67,24640.4,1.22476,0.58533,0.01063,0.77297,0.72339,0.77904,0.46864,1.31685,0.92042,0.01443,0.00693882,0.00231294,0.00693882,0.00231294,0.00693882,0.00231294,0.00693882,0.00231294
68,25004.6,1.19561,0.59164,0.01007,0.76911,0.72735,0.77915,0.46955,1.32064,0.91339,0.01451,0.00658941,0.00219647,0.00658941,0.00219647,0.00658941,0.00219647,0.00658941,0.00219647
69,25369.3,1.18915,0.56166,0.01022,0.78843,0.71683,0.7799,0.46903,1.32166,0.91515,0.01457,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
70,25734.1,1.19487,0.56331,0.00995,0.77771,0.72785,0.77832,0.46729,1.32373,0.9174,0.01458,0.00589059,0.00196353,0.00589059,0.00196353,0.00589059,0.00196353,0.00589059,0.00196353
71,26099,1.16911,0.55685,0.00992,0.77804,0.72526,0.7777,0.46725,1.3252,0.92219,0.01462,0.00554118,0.00184706,0.00554118,0.00184706,0.00554118,0.00184706,0.00554118,0.00184706
72,26463.9,1.14664,0.53301,0.00978,0.77994,0.72729,0.77786,0.46649,1.32408,0.92552,0.01464,0.00519176,0.00173059,0.00519176,0.00173059,0.00519176,0.00173059,0.00519176,0.00173059
73,26827.5,1.14799,0.52704,0.00967,0.7832,0.72104,0.77772,0.46708,1.32658,0.92517,0.01472,0.00484235,0.00161412,0.00484235,0.00161412,0.00484235,0.00161412,0.00484235,0.00161412
74,27191.4,1.11743,0.51062,0.00946,0.79015,0.72074,0.77747,0.46674,1.32437,0.93114,0.01469,0.00449294,0.00149765,0.00449294,0.00149765,0.00449294,0.00149765,0.00449294,0.00149765
75,27555.7,1.11087,0.50326,0.00914,0.79384,0.71597,0.77686,0.46652,1.32506,0.93165,0.01468,0.00414353,0.00138118,0.00414353,0.00138118,0.00414353,0.00138118,0.00414353,0.00138118
76,27919.9,1.09444,0.48067,0.00894,0.79061,0.71724,0.7776,0.46624,1.32857,0.93453,0.01475,0.00379412,0.00126471,0.00379412,0.00126471,0.00379412,0.00126471,0.00379412,0.00126471
77,28284.3,1.09076,0.46653,0.00864,0.79206,0.71578,0.77676,0.46539,1.32968,0.93265,0.01475,0.00344471,0.00114824,0.00344471,0.00114824,0.00344471,0.00114824,0.00344471,0.00114824
78,28649,1.08066,0.46065,0.00882,0.78429,0.71971,0.77524,0.46458,1.33149,0.93593,0.0148,0.00309529,0.00103176,0.00309529,0.00103176,0.00309529,0.00103176,0.00309529,0.00103176
79,29013,1.05278,0.44731,0.00851,0.78576,0.71772,0.77436,0.46402,1.3336,0.93708,0.01483,0.00274588,0.000915294,0.00274588,0.000915294,0.00274588,0.000915294,0.00274588,0.000915294
80,29376.8,1.03999,0.43501,0.00822,0.79589,0.71091,0.77199,0.46326,1.33496,0.9361,0.01486,0.00239647,0.000798824,0.00239647,0.000798824,0.00239647,0.000798824,0.00239647,0.000798824
81,29740.6,1.03873,0.44324,0.00842,0.79973,0.70883,0.77248,0.4632,1.33499,0.9407,0.01486,0.00204706,0.000682353,0.00204706,0.000682353,0.00204706,0.000682353,0.00204706,0.000682353
82,30104.6,1.03998,0.43743,0.0084,0.80487,0.707,0.77225,0.46209,1.33504,0.94479,0.01487,0.00169765,0.000565882,0.00169765,0.000565882,0.00169765,0.000565882,0.00169765,0.000565882
83,30468.4,1.01979,0.42214,0.00816,0.8071,0.70705,0.77287,0.46237,1.33503,0.9492,0.01489,0.00134824,0.000449412,0.00134824,0.000449412,0.00134824,0.000449412,0.00134824,0.000449412
84,30832.8,1.00779,0.40651,0.00795,0.80241,0.70953,0.7734,0.46248,1.33531,0.95086,0.01488,0.000998824,0.000332941,0.000998824,0.000332941,0.000998824,0.000332941,0.000998824,0.000332941
85,31196.9,1.00631,0.41589,0.00789,0.80096,0.70858,0.77425,0.46267,1.33604,0.95253,0.01489,0.000649412,0.000216471,0.000649412,0.000216471,0.000649412,0.000216471,0.000649412,0.000216471
